Caption,Description,Id,Session
"Sales tax; exempt certain clothing, wallets, and bags; limited time period",HB 1,2211,2001_02
"Computer Equipment Disposal and Recycling Council; create
",HB 2,2212,2001_02
Income tax; gradual reduction and abolishment,HB 3,2213,2001_02
Income tax; taxable net; exclude capital gains,HB 4,2214,2001_02
Income tax; taxable net; exclude retirement income,HB 5,2215,2001_02
State Sovereignty and Federal Tax Funds Act; enact,HB 6,2216,2001_02
Sales tax; exempt certain food or beverages in capsule or tablet form,HB 7,2217,2001_02
Clinical laboratories; powers and duties; transfer to Department of Community Health,HB 8,2218,2001_02
Driver education and instruction; requirements,HB 9,2219,2001_02
Income tax; state witholding requirements; eliminate,HB 10,2220,2001_02
Vehicular homicide or feticide while driving under the influence; penalty,HB 11,2221,2001_02
Lobbying; state government; prohibit use of certain public funds,HB 12,2222,2001_02
Minors; certain employment; written parental permission ,HB 13,2223,2001_02
Georgia Qualified State Tuition Program; enact,HB 14,2225,2001_02
"Sales tax; exempt certain clothing, supplies, computer equipment; school purposes",HB 15,2226,2001_02
"State flag; change design; designate ""Georgia Memorial Flag""
",HB 16,2227,2001_02
Covenant Marriage Act; enact,HB 17,2228,2001_02
Income tax; married and single persons; equalize treatment,HB 18,2229,2001_02
Income tax; adjust tables for inflation from 1971,HB 19,2230,2001_02
Fraudulent practices; defrauding drug and alcohol screening tests,HB 20,2231,2001_02
"Marietta, City of; homestead exemption",HB 21,2232,2001_02
Income tax; change computation tables,HB 22,2234,2001_02
Elections; age of children in voting booths with parents,HB 23,2235,2001_02
Insurance; certain discriminatory practices; prohibit,HB 24,2253,2001_02
County law libraries; change certain population reference,HB 25,2254,2001_02
Youth organizations; certain governmental discrimination; prohibit,HB 26,2255,2001_02
"Powder Springs, City of; homestead exemption",HB 27,2256,2001_02
Drivers' licenses; remote renewal; electronic submission,HB 28,2257,2001_02
Sales tax; exempt certain digital broadcast equipment,HB 29,2258,2001_02
Ethics in government; amend provisions,HB 30,2294,2001_02
Judicial sales; real property descriptions; advertisements,HB 31,2295,2001_02
Sheriffs; vacancies in offices,HB 32,2296,2001_02
Natural Resources; qualifications of certain members,HB 33,2300,2001_02
Highways; high occupancy vehicle lanes; purchasing use,HB 34,2303,2001_02
State agencies; decentralization; reduction in Atlanta Metro Area employees,HB 35,2306,2001_02
Commission on African American Males; create,HB 36,2311,2001_02
Ad valorem tax; exempt certain equipment; family owned producer,HB 37,2312,2001_02
Employees' Retirement; DFACS; creditable service,HB 38,2316,2001_02
Defense of Scouting Act; enact,HB 39,2317,2001_02
State employees health insurance; Ga/Fed State Inspection Service; compensate retired members,HB 40,2318,2001_02
Election fraud; governor reward for information,HB 41,2326,2001_02
Driver's license; suspension/revocation certain offenses; prohibit new license,HB 42,2332,2001_02
Drivers' licenses; processing of certain permits; driver training schools ,HB 43,2333,2001_02
Driving Under the Influence; homicide by vehicle; life imprisonment or death,HB 44,2330,2001_02
Election fraud; governor provide rewards to persons reporting ,HB 45,2329,2001_02
Sales tax; definition of sales price,HB 46,2328,2001_02
Bondsmen; qualifications,HB 47,2325,2001_02
Motor vehicles; rental; excise tax ,HB 48,2324,2001_02
Coin operated amusement machines; definitions,HB 49,2334,2001_02
Hotel-motel tax; amend definition,HB 50,2301,2001_02
Estate tax; definition of filing date,HB 51,2302,2001_02
Cigar and cigarette taxes; definitions,HB 52,2304,2001_02
Motor fuel tax; definitions,HB 53,2305,2001_02
Sales tax; definitions,HB 54,2307,2001_02
Income tax; change definitions,HB 55,2308,2001_02
Intangible tax; real estate transfer tax; change provision,HB 56,2310,2001_02
Ad valorem tax; change definitions; current use value/fair market value  freeport ,HB 57,2309,2001_02
Tax sales; change provisions under tax levies/executions ,HB 58,2313,2001_02
Tax executions; change provisions; issuance,HB 59,2314,2001_02
Taxation; change definitions,HB 60,2315,2001_02
Revenue Code; conform to federal law,HB 61,2299,2001_02
"Revenue, Department of; change provisions",HB 62,2298,2001_02
License plates and fees; change definitions,HB 63,2297,2001_02
Fulton County; community improvement districts; definition of electors,HB 64,2327,2001_02
Public records; certain disclosure; exempt teachers and public school employees,HB 65,2331,2001_02
Public records; certain information; exempt teachers and public school employees ,HB 66,2337,2001_02
Sales tax; exempt required textbooks; postsecondary schools,HB 67,2338,2001_02
Employment security; domestic employees; annual contributions,HB 68,2339,2001_02
Clinical perfusionists; licensing,HB 69,2340,2001_02
Tuition equalization grants; elementary and secondary schools; pilot program,HB 70,2341,2001_02
Water pollution control; loans from EPA funds,HB 71,2342,2001_02
State agencies; rejected applications for law enforcement positions; written notification,HB 72,2343,2001_02
Public records; exempt certain information; teachers/school employees,HB 73,2344,2001_02
