UUID,file_path
AR2001H1031,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1031/AR2001H1031_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1031.pdf
AR2001H1075,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1075/AR2001H1075_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1075.pdf
AR2001H1086,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1086/AR2001H1086_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1086.pdf
AR2001H1094,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1094/AR2001H1094_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1094.pdf
AR2001H1106,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1106/AR2001H1106_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1106.pdf
AR2001H1121,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1121/AR2001H1121_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1121.pdf
AR2001H1175,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1175/AR2001H1175_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1175.pdf
AR2001H1238,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1238/AR2001H1238_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1238.pdf
AR2001H1307,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1307/AR2001H1307_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1307.pdf
AR2001H1410,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1410/AR2001H1410_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1410.pdf
AR2001H1522,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1522/AR2001H1522_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1522.pdf
AR2001H1661,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1661/AR2001H1661_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1661.pdf
AR2001H1662,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1662/AR2001H1662_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1662.pdf
AR2001H1663,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1663/AR2001H1663_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1663.pdf
AR2001H1677,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1677/AR2001H1677_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1677.pdf
AR2001H1679,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1679/AR2001H1679_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1679.pdf
AR2001H1683,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1683/AR2001H1683_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1683.pdf
AR2001H1684,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1684/AR2001H1684_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1684.pdf
AR2001H1685,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1685/AR2001H1685_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1685.pdf
AR2001H1688,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1688/AR2001H1688_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1688.pdf
AR2001H1689,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1689/AR2001H1689_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1689.pdf
AR2001H1697,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1697/AR2001H1697_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1697.pdf
AR2001H1701,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1701/AR2001H1701_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1701.pdf
AR2001H1702,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1702/AR2001H1702_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1702.pdf
AR2001H1836,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1836/AR2001H1836_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1836.pdf
AR2001H1913,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H1913/AR2001H1913_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB1913.pdf
AR2001H2006,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2006/AR2001H2006_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2006.pdf
AR2001H2009,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2009/AR2001H2009_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2009.pdf
AR2001H2010,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2010/AR2001H2010_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2010.pdf
AR2001H2011,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2011/AR2001H2011_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2011.pdf
AR2001H2012,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2012/AR2001H2012_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2012.pdf
AR2001H2159,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2159/AR2001H2159_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2159.pdf
AR2001H2188,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2188/AR2001H2188_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2188.pdf
AR2001H2389,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2389/AR2001H2389_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2389.pdf
AR2001H2565,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2565/AR2001H2565_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2565.pdf
AR2001H2581,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2581/AR2001H2581_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2581.pdf
AR2001H2612,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2612/AR2001H2612_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2612.pdf
AR2001H2648,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001H2648/AR2001H2648_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2648.pdf
AR2001HJR1004,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001HJR1004/AR2001HJR1004_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHJR1004.pdf
AR2001S373,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001S373/AR2001S373_FTPDocument?path=%2FBills%2F2001%2FPublic%2FSB373.pdf
AR2001S780,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001S780/AR2001S780_FTPDocument?path=%2FBills%2F2001%2FPublic%2FSB780.pdf
AR2001S885,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2001S885/AR2001S885_FTPDocument?path=%2FBills%2F2001%2FPublic%2FSB885.pdf
AR2002H2008,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2002H2008/AR2002H2008_FTPDocument?path=%2FBills%2F2001%2FPublic%2FHB2008.pdf
AR2003H1014,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1014/AR2003H1014_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1014.pdf
AR2003H1015,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1015/AR2003H1015_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1015.pdf
AR2003H1016,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1016/AR2003H1016_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1016.pdf
AR2003H1017,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1017/AR2003H1017_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1017.pdf
AR2003H1025,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1025/AR2003H1025_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1025.pdf
